"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
-0.382924922548026	-0.379431673199505	-0.433225060956263	-0.325638285442746	0.00349324934852108	1
-0.382924922548026	-0.404752992275663	-0.464063501762872	-0.345442482788454	-0.021828069727637	1
-0.382924922548026	-0.406303933834809	-0.459795676658696	-0.352812191010922	-0.0233790112867829	1
-0.382924922548026	-0.402758734105749	-0.466063053322219	-0.339454414889278	-0.0198338115577229	1
-0.382924922548026	-0.377653182108473	-0.430099530862304	-0.325206833354642	0.00527174043955309	1
-0.382924922548026	-0.361795223419026	-0.412658204603915	-0.310932242234138	0.0211296991290001	1
-0.382924922548026	-0.475581717268766	-0.53439373415281	-0.416769700384722	-0.09265679472074	1
-0.382924922548026	-0.375549155397133	-0.433438736977786	-0.31765957381648	0.00737576715089305	1
-0.382924922548026	-0.382240882477529	-0.450107983870913	-0.314373781084144	0.00068404007049705	1
-0.382924922548026	-0.397288635157514	-0.462952448025024	-0.331624822290004	-0.0143637126094879	1
-0.382924922548026	-0.375626240673974	-0.430176118955509	-0.321076362392439	0.00729868187405208	1
-0.382924922548026	-0.358657978813999	-0.413169163798267	-0.304146793829731	0.024266943734027	1
-0.382924922548026	-0.470072446564315	-0.525701657936738	-0.414443235191893	-0.0871475240162889	1
-0.382924922548026	-0.385894571050197	-0.442855456786345	-0.328933685314049	-0.00296964850217091	1
-0.382924922548026	-0.408453448111662	-0.460424905700146	-0.356481990523178	-0.0255285255636359	1
-0.382924922548026	-0.368381578151614	-0.423654882474771	-0.313108273828456	0.0145433443964121	1
-0.382924922548026	-0.418237505417508	-0.472018265179383	-0.364456745655634	-0.0353125828694819	1
-0.382924922548026	-0.423744457628305	-0.474231561638323	-0.373257353618288	-0.0408195350802789	1
-0.382924922548026	-0.393133650694524	-0.452019022218184	-0.334248279170864	-0.0102087281464979	1
-0.382924922548026	-0.377707062959983	-0.431130338883591	-0.324283787036376	0.00521785958804305	1
-0.382924922548026	-0.414430956266895	-0.478043353278668	-0.350818559255122	-0.031506033718869	1
-0.382924922548026	-0.369200452291132	-0.4306310890627	-0.307769815519564	0.0137244702568941	1
-0.382924922548026	-0.430736290613446	-0.486097158374059	-0.375375422852834	-0.0478113680654199	1
-0.382924922548026	-0.374578399885957	-0.429824210509729	-0.319332589262185	0.00834652266206909	1
-0.382924922548026	-0.416819641125129	-0.477815705000155	-0.355823577250104	-0.0338947185771029	1
-0.382924922548026	-0.380356313999452	-0.433821472656778	-0.326891155342127	0.00256860854857405	1
-0.382924922548026	-0.431855190440539	-0.486942141408976	-0.376768239472102	-0.0489302678925129	1
-0.382924922548026	-0.381553876094861	-0.446688400026398	-0.316419352163324	0.00137104645316505	1
-0.382924922548026	-0.396520773920546	-0.453737706592209	-0.339303841248883	-0.01359585137252	1
-0.382924922548026	-0.354182129735636	-0.420511468032233	-0.287852791439039	0.0287427928123901	1
-0.382924922548026	-0.38774026979736	-0.450434930627537	-0.325045608967184	-0.00481534724933391	1
-0.382924922548026	-0.404725755102722	-0.457939100538025	-0.351512409667418	-0.0218008325546959	1
-0.382924922548026	-0.423643544396073	-0.484916746726809	-0.362370342065337	-0.0407186218480469	1
-0.382924922548026	-0.407043590601004	-0.467534608975105	-0.346552572226903	-0.0241186680529779	1
-0.382924922548026	-0.404557226233965	-0.468685404801756	-0.340429047666175	-0.0216323036859389	1
-0.382924922548026	-0.431568294279402	-0.488493168295524	-0.37464342026328	-0.048643371731376	1
-0.382924922548026	-0.396630639775575	-0.448076714417051	-0.345184565134099	-0.0137057172275489	1
-0.382924922548026	-0.376831587171071	-0.436907450132501	-0.316755724209641	0.00609333537695506	1
-0.382924922548026	-0.457463863362759	-0.514902430142673	-0.400025296582845	-0.0745389408147329	1
-0.382924922548026	-0.417336914354654	-0.472618801966321	-0.362055026742986	-0.0344119918066279	1
-0.382924922548026	-0.397587539965553	-0.450934663318863	-0.344240416612243	-0.0146626174175269	1
-0.382924922548026	-0.397549993953852	-0.450104504220907	-0.344995483686797	-0.0146250714058259	1
-0.382924922548026	-0.391147523215224	-0.446920293582361	-0.335374752848087	-0.00822260066719793	1
-0.382924922548026	-0.424669642592506	-0.479730110310027	-0.369609174874985	-0.0417447200444799	1
-0.382924922548026	-0.372434444104908	-0.432986446266133	-0.311882441943683	0.0104904784431181	1
-0.382924922548026	-0.424571728234044	-0.49048515962265	-0.358658296845437	-0.0416468056860179	1
-0.382924922548026	-0.359942037281431	-0.411756895129299	-0.308127179433564	0.0229828852665951	1
-0.382924922548026	-0.329736252924165	-0.40080043166424	-0.258672074184089	0.0531886696238611	1
-0.382924922548026	-0.42252521258193	-0.47913660888703	-0.365913816276829	-0.0396002900339039	1
-0.382924922548026	-0.419074185007821	-0.470722946257108	-0.367425423758533	-0.0361492624597949	1
-0.382924922548026	-0.397527167744603	-0.465882213287556	-0.32917212220165	-0.0146022451965769	1
-0.382924922548026	-0.362160630390903	-0.413638231869623	-0.310683028912184	0.0207642921571231	1
-0.382924922548026	-0.396005960240798	-0.448738096214686	-0.343273824266909	-0.0130810376927719	1
-0.382924922548026	-0.402851867795836	-0.457016450207897	-0.348687285383775	-0.0199269452478099	1
-0.382924922548026	-0.422997865231813	-0.47683053432771	-0.369165196135915	-0.0400729426837869	1
-0.382924922548026	-0.388609995528964	-0.46131063661004	-0.315909354447888	-0.00568507298093796	1
-0.382924922548026	-0.403659881138293	-0.455370679516657	-0.351949082759928	-0.0207349585902669	1
-0.382924922548026	-0.446084292727138	-0.506794358798827	-0.38537422665545	-0.0631593701791119	1
-0.382924922548026	-0.408163732311405	-0.46259933322319	-0.353728131399621	-0.0252388097633789	1
-0.382924922548026	-0.395672072014352	-0.460461199204201	-0.330882944824502	-0.0127471494663259	1
-0.382924922548026	-0.426678622079017	-0.480887084955548	-0.372470159202487	-0.043753699530991	1
-0.382924922548026	-0.473561390685154	-0.546966762041123	-0.400156019329186	-0.0906364681371279	1
-0.382924922548026	-0.400636203183334	-0.463608071894044	-0.337664334472625	-0.0177112806353079	1
-0.382924922548026	-0.402876249233561	-0.46277594369912	-0.342976554768003	-0.019951326685535	1
-0.382924922548026	-0.374988649407639	-0.428812508551143	-0.321164790264135	0.00793627314038708	1
-0.382924922548026	-0.407003286930784	-0.46016230396371	-0.353844269897858	-0.024078364382758	1
-0.382924922548026	-0.374104275845474	-0.427806290566294	-0.320402261124653	0.00882064670255206	1
-0.382924922548026	-0.395266076971108	-0.448907188019655	-0.34162496592256	-0.0123411544230819	1
-0.382924922548026	-0.37769375436236	-0.440651834466574	-0.314735674258146	0.00523116818566605	1
-0.382924922548026	-0.382117468296576	-0.446809786855093	-0.317425149738058	0.000807454251450068	1
-0.382924922548026	-0.380877372579921	-0.437468522716477	-0.324286222443366	0.00204754996810508	1
-0.382924922548026	-0.387326340290619	-0.4430830972994	-0.331569583281838	-0.00440141774259295	1
-0.382924922548026	-0.350097548375336	-0.405506416769625	-0.294688679981047	0.03282737417269	1
-0.382924922548026	-0.394633501926639	-0.458374597196342	-0.330892406656936	-0.0117085793786129	1
-0.382924922548026	-0.388062537160968	-0.440848094831798	-0.335276979490139	-0.00513761461294193	1
-0.382924922548026	-0.378218356116129	-0.434666322707869	-0.321770389524388	0.0047065664318971	1
-0.382924922548026	-0.379947590720558	-0.434378737458402	-0.325516443982714	0.00297733182746807	1
-0.382924922548026	-0.407553617868484	-0.461729204546498	-0.353378031190471	-0.0246286953204579	1
-0.382924922548026	-0.452076147435215	-0.522462859576927	-0.381689435293503	-0.0691512248871889	1
-0.382924922548026	-0.430042931460186	-0.489048438205075	-0.371037424715297	-0.0471180089121599	1
-0.382924922548026	-0.444498298071005	-0.499829393622188	-0.389167202519822	-0.0615733755229789	1
-0.382924922548026	-0.393288602564356	-0.446300853301494	-0.340276351827219	-0.0103636800163299	1
-0.382924922548026	-0.466454152109564	-0.522984827639888	-0.409923476579239	-0.0835292295615379	1
